kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400,kappa_12800,value_12800,error_12800
-4.0,9.539911791609983,0.06528673206767878,-4.5,16.17075289913653,0.11309388051404268,-4.0,28.30719444444701,0.19706211068838445,-3.2,54.17513525565023,0.3660847412925966,-2.95,101.14983399532461,0.6760342178219718,-2.7,191.44559833399708,1.2215613220766897,-2.25,349.3429803211022,2.170653882538093
-2.0,9.664234449388594,0.06686746455625518,-2.5,15.995981732396368,0.10760474801525549,-2.4,28.843986164602605,0.19585331693723892,-2.0,54.014904655960464,0.3558735417061444,-1.95,103.06658159429831,0.6723338940051015,-1.9,192.47017613433027,1.2387697780310944,-1.65,345.0901852018285,2.234635570145986
-1.0,10.111552758598403,0.06847508153739476,-1.5,16.625664247216292,0.10718810606271892,-1.6,29.64749397470042,0.20651696162777378,-1.4,54.6560009528141,0.3590977918466722,-1.45,101.25640703553813,0.652912444279594,-1.5,188.5296160606423,1.1969265095681518,-1.35,324.0074180377424,2.1125795496187694
-0.5,10.351611912012432,0.07075470924438515,-1.0,17.24470985438132,0.1140306549969893,-1.2,30.651605056330297,0.20600780423900109,-1.1,57.435658097318836,0.3772548624778323,-1.2,103.78666863532446,0.6622687117629537,-1.3,185.82158423182878,1.1631278307653636,-1.2,318.14916621029516,2.091940373218495
0.0,10.490182476622572,0.06955536727518259,-0.5,18.15367459084014,0.12226559814166378,-0.8,31.76291496882381,0.1975784563315817,-0.8,56.213209946481875,0.3724314048685271,-0.95,99.90693879181704,0.6346986084595565,-1.1,180.8005458643543,1.1436491311720676,-1.05,300.1707324125717,2.0326038547211622
0.5,10.12738947813128,0.06940535979449973,0.0,17.715777145696645,0.12233930862506004,-0.4,30.862366537853696,0.20656061416756813,-0.5,54.407815839293164,0.36947609194833636,-0.7,96.49520280473239,0.6350165348069919,-0.9,171.94916090572707,1.14416164039542,-0.9,284.30275166352214,1.9525714392937052
1.0,9.502696004983866,0.06889442293977689,0.5,16.03110278226802,0.11364701463075051,0.0,28.795588358303952,0.20278241047447543,-0.2,49.74531085675537,0.3360943307892355,-0.45,89.38135063073312,0.6019621726313993,-0.7,159.57452851493898,1.12977958394375,-0.75,259.7101550590082,1.8351596729696398
1.5,9.156854767818691,0.06470930155088003,1.0,14.650729005276107,0.10686941697351246,0.4,25.555161173944153,0.17760054440637046,0.1,44.62709007348387,0.31021820875888867,-0.2,79.90023758761082,0.5493829025942812,-0.5,142.95525555396364,0.956180164502948,-0.6,232.92356482267948,1.6666363613838657
2.0,9.016467116222728,0.06645934198378292,1.5,13.62780331022965,0.09873386075629317,0.8,23.143123116268416,0.1733743260802983,0.4,39.071232782228826,0.284303469248246,0.05,69.50661611190932,0.5091329677193521,-0.3,128.44153753504526,0.8969394077086946,-0.45,212.48609274246843,1.5344723293848166
3.0,8.852507071341135,0.06374361614826758,2.5,13.476230412048166,0.10006590649555222,1.6,21.05984538663024,0.1566791214813017,1.0,32.647934378026356,0.2500121086452045,0.55,54.85177539229125,0.4160479330188107,0.1,103.87192415842135,0.7861688653671165,-0.05,169.1460183876453,1.2843188644180479
5.0,8.639316346719447,0.06320513340230534,4.5,12.76664634451384,0.0926590020344082,3.2,19.433021263343026,0.24865037117933284,2.2,30.58353624139797,0.5353764645191452,1.55,45.55427889916162,0.5154316002579266,0.9,73.39603276146819,0.5553826479764593,0.55,123.03926195909314,0.96220577810717
