0, 212
0, 1121
0, 272
1, 225
1, 100
1, 66
2, 1428
2, 1321
3, 668
3, 935
3, 825
4, 1165
5, 1381
5, 1180
5, 1017
6, 1213
7, 126
7, 987
8, 255
9, 1501
9, 1176
10, 765
11, 1088
11, 1086
11, 1141
12, 450
12, 295
13, 761
13, 410
13, 1110
14, 852
14, 120
15, 35
15, 186
15, 225
16, 1101
16, 642
16, 1433
17, 353
17, 673
17, 925
18, 1513
18, 817
18, 23
19, 1010
19, 644
20, 350
20, 218
21, 1023
22, 1323
22, 1421
23, 1176
24, 653
24, 202
24, 1601
25, 902
25, 1387
25, 1057
26, 1312
26, 1184
27, 199
27, 920
28, 792
28, 1082
28, 97
28, 721
29, 562
29, 906
30, 1377
30, 1170
31, 269
31, 1593
32, 669
32, 406
32, 148
33, 469
33, 64
34, 1097
35, 1418
35, 962
36, 292
36, 267
36, 118
37, 272
37, 1005
37, 946
38, 82
38, 825
39, 319
40, 449
40, 453
41, 248
41, 1485
42, 685
42, 1462
43, 947
44, 1246
44, 498
45, 1555
45, 166
46, 1206
46, 1484
46, 304
47, 169
48, 637
49, 1295
49, 742
49, 481
50, 597
50, 55
50, 1152
51, 1250
51, 661
52, 625
53, 980
54, 1281
54, 420
54, 1475
54, 1193
55, 433
56, 826
56, 172
56, 1501
57, 1599
58, 1035
58, 1253
59, 734
60, 671
60, 1272
60, 1053
61, 320
62, 526
62, 131
62, 1029
63, 205
63, 969
64, 1287
64, 1428
65, 560
65, 1084
67, 894
67, 397
67, 976
68, 1257
68, 446
69, 1149
69, 901
70, 407
71, 1206
71, 1450
72, 1072
72, 1561
73, 990
74, 1033
74, 187
74, 453
75, 354
75, 776
76, 319
76, 248
77, 1268
77, 1306
78, 993
79, 134
79, 590
80, 733
81, 1045
81, 1499
82, 334
83, 1076
83, 257
84, 1152
85, 116
85, 812
85, 1522
86, 1288
86, 204
87, 316
87, 1238
88, 106
88, 529
89, 523
89, 170
89, 1424
90, 1502
91, 1154
92, 740
92, 1547
93, 1091
94, 1402
94, 1514
94, 125
95, 1447
95, 707
95, 1499
96, 520
98, 1214
98, 926
99, 1112
100, 132
101, 1590
101, 553
102, 347
102, 933
102, 1343
102, 425
103, 337
103, 1115
103, 945
104, 1122
104, 966
105, 213
107, 898
107, 970
107, 1083
108, 874
108, 314
109, 1067
109, 1129
110, 1367
111, 1134
111, 964
112, 1203
112, 290
112, 1374
113, 1074
113, 471
113, 1011
114, 1186
114, 510
115, 488
117, 696
117, 712
118, 429
119, 274
119, 489
119, 1437
121, 1223
121, 1075
122, 272
123, 284
123, 231
124, 326
124, 820
126, 448
126, 1503
127, 1551
127, 739
128, 778
128, 1194
129, 552
130, 1336
130, 802
131, 474
133, 649
133, 843
134, 853
134, 1544
135, 343
135, 1108
135, 472
136, 700
136, 971
137, 548
138, 301
138, 673
138, 1162
139, 575
140, 1112
140, 401
141, 1008
141, 1512
141, 998
142, 1583
142, 538
143, 993
143, 227
143, 689
144, 1351
144, 244
145, 586
145, 1510
146, 468
146, 611
146, 897
147, 1227
147, 573
148, 1042
149, 1303
149, 583
150, 194
150, 1173
151, 859
151, 1450
152, 1374
152, 899
153, 676
153, 690
154, 1273
155, 1592
155, 273
156, 165
156, 920
157, 1508
158, 324
158, 441
158, 501
159, 726
160, 1602
161, 1040
161, 510
162, 456
162, 789
162, 1281
163, 1063
163, 978
164, 431
164, 1308
166, 214
167, 1225
167, 1341
168, 717
168, 1581
168, 947
169, 1185
170, 734
170, 1475
171, 938
173, 1592
174, 761
174, 1211
175, 796
175, 662
176, 383
177, 1138
177, 1033
177, 1603
178, 860
178, 1062
179, 540
179, 1486
